artist,track_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,year
Morgan Wallen,’98 Braves,0.488,0.67,2,-5.759,1,0.0268,0.0969,0.00022,0.257,0.484,142.139,audio_features,3oZ6dlSfCE9gZ55MGPJctc,spotify:track:3oZ6dlSfCE9gZ55MGPJctc,https://api.spotify.com/v1/tracks/3oZ6dlSfCE9gZ55MGPJctc,https://api.spotify.com/v1/audio-analysis/3oZ6dlSfCE9gZ55MGPJctc,178704,4,2023
Jelly Roll,Need A Favor,0.502,0.771,6,-4.246,1,0.032,0.0123,1.82e-05,0.0801,0.557,157.978,audio_features,07on0OB2cdPt79IFsgdRUy,spotify:track:07on0OB2cdPt79IFsgdRUy,https://api.spotify.com/v1/tracks/07on0OB2cdPt79IFsgdRUy,https://api.spotify.com/v1/audio-analysis/07on0OB2cdPt79IFsgdRUy,197400,4,2023
HARDY,red (feat. Morgan Wallen),0.582,0.878,11,-4.564,1,0.0404,0.0305,0.0,0.0791,0.581,140.03,audio_features,2D3JfPyY2LkzXgNOb7qziR,spotify:track:2D3JfPyY2LkzXgNOb7qziR,https://api.spotify.com/v1/tracks/2D3JfPyY2LkzXgNOb7qziR,https://api.spotify.com/v1/audio-analysis/2D3JfPyY2LkzXgNOb7qziR,205768,4,2023
Bailey Zimmerman,Religiously,0.57,0.67,1,-6.519,1,0.0274,0.426,0.0,0.108,0.593,140.924,audio_features,0bILU0UiNDmA5Ff6whhb2R,spotify:track:0bILU0UiNDmA5Ff6whhb2R,https://api.spotify.com/v1/tracks/0bILU0UiNDmA5Ff6whhb2R,https://api.spotify.com/v1/audio-analysis/0bILU0UiNDmA5Ff6whhb2R,178723,4,2023
Jason Aldean,Try That In A Small Town,0.457,0.861,0,-3.771,0,0.0529,0.0583,1.28e-05,0.106,0.376,145.989,audio_features,5BqI4ugJL5WaPRQ6MlC8Ho,spotify:track:5BqI4ugJL5WaPRQ6MlC8Ho,https://api.spotify.com/v1/tracks/5BqI4ugJL5WaPRQ6MlC8Ho,https://api.spotify.com/v1/audio-analysis/5BqI4ugJL5WaPRQ6MlC8Ho,181600,4,2023
Old Dominion,Memory Lane,0.647,0.774,6,-5.136,1,0.0362,0.0185,1.47e-05,0.0849,0.376,118.968,audio_features,1nrgBXtczBXNSlqIezjwbR,spotify:track:1nrgBXtczBXNSlqIezjwbR,https://api.spotify.com/v1/tracks/1nrgBXtczBXNSlqIezjwbR,https://api.spotify.com/v1/audio-analysis/1nrgBXtczBXNSlqIezjwbR,172480,4,2023
Megan Moroney,I'm Not Pretty,0.573,0.795,10,-5.561,1,0.0558,0.129,1.78e-05,0.186,0.705,128.101,audio_features,2ePiBvKtQOCBHq9uOlwiiU,spotify:track:2ePiBvKtQOCBHq9uOlwiiU,https://api.spotify.com/v1/tracks/2ePiBvKtQOCBHq9uOlwiiU,https://api.spotify.com/v1/audio-analysis/2ePiBvKtQOCBHq9uOlwiiU,181067,4,2023
Tyler Childers,In Your Love,0.534,0.409,7,-9.559,1,0.0378,0.844,0.000656,0.115,0.243,127.357,audio_features,1y3CG6thNhG1ndaNW0JuEp,spotify:track:1y3CG6thNhG1ndaNW0JuEp,https://api.spotify.com/v1/tracks/1y3CG6thNhG1ndaNW0JuEp,https://api.spotify.com/v1/audio-analysis/1y3CG6thNhG1ndaNW0JuEp,225827,4,2023
Warren Zeiders,Pretty Little Poison,0.494,0.567,1,-4.156,1,0.0334,0.0235,2.4e-06,0.146,0.22,112.011,audio_features,0MIp9iBm1V41ERxkZnmSUG,spotify:track:0MIp9iBm1V41ERxkZnmSUG,https://api.spotify.com/v1/tracks/0MIp9iBm1V41ERxkZnmSUG,https://api.spotify.com/v1/audio-analysis/0MIp9iBm1V41ERxkZnmSUG,218260,3,2023
Chase Matthew,Love You Again,0.564,0.823,10,-5.319,0,0.0297,0.214,0.0,0.432,0.472,132.113,audio_features,7pvy3nhtBIQUakHS4OjFqB,spotify:track:7pvy3nhtBIQUakHS4OjFqB,https://api.spotify.com/v1/tracks/7pvy3nhtBIQUakHS4OjFqB,https://api.spotify.com/v1/audio-analysis/7pvy3nhtBIQUakHS4OjFqB,173636,4,2023
